account,password,role,school,name,enable
root00,root00,999999999999999999999999,000000000000000000000003,超级管理员,true
admin00,admin00,000000000000000000000001,000000000000000000000003,管理员,true
admin01,admin01,000000000000000000000001,000000000000000000000003,管理员,true
user00,user00,000000000000000000000002,000000000000000000000003,校领导,true
user01,user01,000000000000000000000003,000000000000000000000003,主任,true
user02,user02,000000000000000000000003,000000000000000000000003,主任,true
user03,user03,000000000000000000000003,000000000000000000000003,主任,true
user04,user04,000000000000000000000003,000000000000000000000003,主任,true
user05,user05,000000000000000000000003,000000000000000000000003,主任,true
user06,user06,000000000000000000000003,000000000000000000000003,主任,true
user07,user07,000000000000000000000003,000000000000000000000003,主任,true
user08,user08,000000000000000000000003,000000000000000000000003,主任,true
user09,user09,000000000000000000000003,000000000000000000000003,主任,true
user10,user10,000000000000000000000004,000000000000000000000003,教师,true
user11,user11,000000000000000000000004,000000000000000000000003,教师,true
user12,user12,000000000000000000000004,000000000000000000000003,教师,true
user13,user13,000000000000000000000004,000000000000000000000003,教师,true
