account,password,role,school,name,enable
admin00,admin00,000000000000000000000001,000000000000000000000003,超级管理员,true
admin01,admin01,000000000000000000000001,000000000000000000000003,超级管理员,true
user00,user00,000000000000000000000002,000000000000000000000003,管理员,true
user01,user01,000000000000000000000003,000000000000000000000003,用户1,true
user02,user02,000000000000000000000003,000000000000000000000003,用户2,true
user03,user03,000000000000000000000003,000000000000000000000003,用户3,true
user04,user04,000000000000000000000003,000000000000000000000003,用户4,true
user05,user05,000000000000000000000003,000000000000000000000003,用户5,true
user06,user06,000000000000000000000003,000000000000000000000003,用户6,true
user07,user07,000000000000000000000003,000000000000000000000003,用户7,true
user08,user08,000000000000000000000003,000000000000000000000003,用户8,true
user09,user09,000000000000000000000003,000000000000000000000003,用户9,true
